result_id,result_month,winner_id,loser_id,winner_set_1,winner_set_2,winner_set_3,winner_set_4,winner_set_5,loser_set_1,loser_set_2,loser_set_3,loser_set_4,loser_set_5
1,May-19,57529,3765,7,7,0,0,0,6,5,0,0,0
2,Mar-19,83218,3871,6,6,0,0,0,4,2,0,0,0
4,Nov-19,4021,4487,7,5,7,0,0,5,7,5,0,0
5,Oct-19,1984892,411593,6,6,0,0,0,3,3,0,0,0
7,Sep-19,52294,224678,6,6,0,0,0,3,2,0,0,0
10,Sep-19,11558,11035,3,6,7,0,0,6,1,6,0,0
11,Oct-19,51547,1609088,6,6,0,0,0,0,3,0,0,0
12,May-19,1940917,4073,6,6,6,0,0,4,7,4,0,0
14,Mar-19,3832,207438,6,6,0,0,0,4,3,0,0,0
15,Nov-19,1399808,2089548,6,6,0,0,0,2,2,0,0,0
17,Aug-19,10352,2595933,6,6,0,0,0,3,0,0,0,0
21,Oct-19,1945656,54883,6,5,6,0,0,1,7,1,0,0
22,Mar-19,10283,259658,6,6,0,0,0,2,3,0,0,0
23,Oct-19,51288,51322,6,6,0,0,0,2,4,0,0,0
24,Aug-19,81226,4464,6,6,0,0,0,3,4,0,0,0
25,Aug-19,3993,206806,7,6,6,0,0,6,4,3,0,0
28,Aug-19,802298,51288,4,6,6,0,0,6,2,4,0,0
29,Aug-19,4193,224142,7,7,0,6,0,5,5,6,3,0
30,Oct-19,2554103,28990,6,6,0,0,0,2,4,0,0,0
31,Sep-19,10839,74682,6,6,0,0,0,2,2,0,0,0
32,Sep-19,3460,77968,4,7,7,0,0,6,5,6,0,0
34,Jan-19,10281,10267,4,6,6,0,0,6,2,3,0,0
35,Nov-19,1394186,114367,6,6,0,0,0,4,2,0,0,0
36,Sep-19,85223,10839,6,6,0,0,0,4,2,0,0,0
37,Nov-19,56114,49954,7,6,0,0,0,6,3,0,0,0
38,Sep-19,198546,3654,1,6,6,0,0,6,3,4,0,0
39,Jan-19,3927,224142,7,6,0,0,0,6,2,0,0,0
41,Jul-19,2596786,1607539,6,6,0,0,0,3,3,0,0,0
42,Aug-19,65230,54113,6,6,0,0,0,4,1,0,0,0
43,Oct-19,65230,3785,6,4,6,0,0,2,6,0,0,0
44,Oct-19,3460,70414,7,7,0,0,0,5,5,0,0,0
45,Sep-19,3466,51288,6,3,6,0,0,4,6,4,0,0
48,Sep-19,3993,3569,6,6,6,0,0,1,2,2,0,0
49,Sep-19,52341,3967,6,6,0,0,0,3,3,0,0,0
50,Sep-19,11140,55200,6,6,0,0,0,2,2,0,0,0
51,Jan-19,224142,2516571,7,0,7,0,0,6,6,5,0,0
54,Oct-19,28097,70784,7,6,0,0,0,6,1,0,0,0
55,Oct-19,3498,4686,2,6,7,0,0,6,4,6,0,0
56,Aug-19,3468,3499,7,6,0,0,0,6,4,0,0,0
57,Feb-19,11134,10403,0,7,6,0,0,6,6,4,0,0
58,Jan-19,235621,177312,6,6,4,6,0,1,3,6,0,0
59,Aug-19,765205,223621,6,0,6,0,0,3,6,1,0,0
60,Feb-19,203816,1517181,6,6,0,0,0,4,2,0,0,0
63,Aug-19,11076,10853,4,6,6,0,0,6,2,2,0,0
64,Sep-19,1607952,51322,0,6,6,0,0,6,2,1,0,0
65,Oct-19,51289,212742,7,6,0,0,0,6,3,0,0,0
66,Feb-19,167901,10346,6,6,7,0,0,4,7,5,0,0
67,Jul-19,27182,51259,7,6,0,0,0,5,3,0,0,0
68,Mar-19,92088,2231281,6,6,0,0,0,4,3,0,0,0
69,Jan-19,836822,2492783,6,6,0,0,0,3,4,0,0,0
70,Feb-19,3828,3481,7,6,0,0,0,6,2,0,0,0
72,Sep-19,42587,79636,6,6,0,0,0,4,2,0,0,0
73,Feb-19,10248,2606228,6,7,0,0,0,3,6,0,0,0
74,Oct-19,94283,60157,7,6,0,0,0,6,3,0,0,0
